kenetic,potential
1.00732,0.0348475
0.8355,0.207282
0.613888,0.428763
0.476336,0.565689
0.464556,0.576932
0.517643,0.523754
0.551534,0.490094
0.537877,0.503939
0.508916,0.53286
0.502791,0.538833
0.520114,0.521453
0.533993,0.507655
0.528403,0.513333
0.514565,0.527158
0.511379,0.530266
0.520767,0.520845
0.528585,0.513072
0.525169,0.516541
0.516702,0.525001
0.514804,0.52685
0.520843,0.52079
0.525509,0.516156
0.521846,0.519861
0.512948,0.528767
0.504768,0.53694
0.494814,0.546927
0.471854,0.569982
0.426577,0.615378
0.360283,0.681754
0.283968,0.758082
0.213608,0.828367
0.169497,0.872286
0.176254,0.865214
0.253343,0.787757
0.396054,0.644791
0.56308,0.477802
0.688423,0.352832
0.716892,0.324917
0.640593,0.401658
0.509156,0.533175
0.403139,0.638872
0.385059,0.656444
0.458969,0.582178
0.566995,0.474188
0.629285,0.412288
0.602656,0.439353
0.514253,0.527892
0.440021,0.601858
0.441213,0.600239
0.511717,0.529525
0.584661,0.456766
0.594863,0.44695
0.539765,0.502255
0.480334,0.561517
0.480906,0.560568
0.547803,0.493442
0.627813,0.413532
0.66618,0.375431
0.662581,0.379136
0.666856,0.374682
0.720481,0.320797
0.806706,0.234551
0.861792,0.179787
0.834425,0.207604
0.731079,0.311218
0.603608,0.438667
0.49865,0.543456
0.42603,0.61594
0.375644,0.666223
0.353656,0.688008
0.387348,0.653976
0.487879,0.553165
0.614774,0.426323
0.69075,0.350784
0.662401,0.379672
0.549451,0.492872
0.432207,0.609912
0.387308,0.654345
0.431237,0.610049
0.518839,0.522393
0.587966,0.45348
0.603177,0.438561
0.566103,0.475848
0.500507,0.541511
0.436952,0.604978
0.404114,0.637608
0.415907,0.625605
0.454496,0.586988
0.471409,0.570319
0.422455,0.619643
0.313332,0.728943
0.207652,0.8344
0.178056,0.863508
0.241753,0.799432
0.345924,0.695252
0.421363,0.620062
0.450391,0.59119
0.477599,0.563839
0.55204,0.489124
0.66322,0.377908
